ID	Elev	Demand
365	82.9	5.55
366	82.76	5.55
367	84.2	5.55
368	83.7	5.55
369	83.6	5.55
370	82.3	5.55
371	82.1	5.55
372	80.4	5.55
373	84.4	5.55
374	84.3	5.55
375	83.74	5.55
376	81.8	5.55
377	81.5	5.55
378	81.1	5.55
379	82.1	5.55
380	82	5.55
381	59.5	5.55
382	59.2	5.55
383	57.2	5.55
384	68	5.55
385	69.5	5.55
386	56.6	5.55
387	53	5.55
388	50.5	5.55
389	45	5.55
390	45	5.55
391	56.2	5.55
392	52.7	5.55
393	52.7	5.55
394	56	5.55
395	80.4	5.55
396	80.5	5.55
397	80.5	5.55
398	81.7	5.55
399	81.7	5.55
400	80.8	5.55
401	80.9	5.55
402	3.3	5.55
403	1.7	5.55
404	8.5	5.55
405	16.5	5.55
406	13.2	5.55
407	23.9	5.55
408	54.7	5.55
409	10	5.55
410	8.1	5.55
411	6.7	5.55
412	12.4	5.55
413	15	5.55
414	19.25	5.55
415	18.4	5.55
416	12.5	5.55
417	56	0
418	54.8	5.55
419	54.8	5.55
420	55.5	5.55
421	52.5	5.55
422	53	5.55
423	52	5.55
424	50	5.55
425	56.4	5.55
426	55.6	5.55
427	40.4	5.55
428	14.2	5.55
429	10	5.55
430	49.8	5.55
431	49.6	5.55
432	75	5.55
433	81.7	5.55
434	10	5.55
435	10	5.55
436	14.5	5.55
437	32	5.55
438	8.1	5.55
439	56	5.55
440	70	5.55
441	75	5.55
442	50.8	5.55
443	103	5.55
