ID	Node1	Node2	Length	Diameter	Roughness	MinorLoss
175	195	193	106	125	0.0025	0
176	193	194	194	100	0.0025	0
177	195	196	103	100	0.0025	0
178	192	197	149	250	0.0025	0
179	199	200	138	150	0.0025	0
180	200	201	146	125	0.0025	0
181	201	203	147	100	0.0025	0
182	195	204	398	400	0.0025	0
183	204	226	131	400	0.0025	0
184	205	208	38	100	0.0025	0
185	208	209	78	100	0.0025	0
186	205	206	287	100	0.0025	0
187	206	207	253	100	0.0025	0
188	210	211	215	300	0.0025	0
189	211	212	170	100	0.0025	0
190	211	213	135	350	0.0025	0
191	213	214	145	350	0.0025	0
192	214	215	254	350	0.0025	0
193	218	216	103	100	0.0025	0
194	216	217	85	100	0.0025	0
195	205	218	600	400	0.0025	0
196	218	219	300	350	0.0025	0
197	219	220	100	350	0.0025	0
198	220	221	306	350	0.0025	0
199	221	222	256	350	0.0025	0
200	222	215	239	350	0.0025	0
201	230	219	450	400	0.0025	0
202	230	223	130	100	0.0025	0
203	205	226	268	300	0.0025	0
204	226	227	70	100	0.0025	0
205	225	228	471	500	0.0025	0
206	229	228	176	500	0.0025	0
207	231	230	190	500	0.0025	0
208	184	236	158	100	0.0025	0
209	440	235	206	100	0.0025	0
210	232	233	83	100	0.0025	0
211	233	234	165	100	0.0025	0
212	234	235	69	100	0.0025	0
213	440	444	200	550	0.0025	0
214	237	238	90	100	0.0025	0
215	238	239	137	100	0.0025	0
216	241	242	58	150	0.0025	0
217	243	244	107	100	0.0025	0
218	245	246	118	100	0.0025	0
219	246	247	177	125	0.0025	0
220	247	248	153	125	0.0025	0
221	248	249	133	250	0.0025	0
222	249	250	170	100	0.0025	0
223	249	251	210	200	0.0025	0
224	251	252	165	200	0.0025	0
225	252	253	115	100	0.0025	0
226	252	254	163	200	0.0025	0
227	254	255	100	200	0.0025	0
228	255	256	110	125	0.0025	0
229	256	257	182	100	0.0025	0
230	255	258	93	150	0.0025	0
231	258	259	151	150	0.0025	0
232	259	260	85	150	0.0025	0
233	260	431	300	150	0.0025	0
234	260	261	250	200	0.0025	0
235	258	262	132	100	0.0025	0
236	263	264	211	100	0.0025	0
237	264	265	69	80	0.0025	0
238	263	266	400	200	0.0025	0
239	266	267	259	200	0.0025	0
240	267	268	155	100	0.0025	0
241	268	269	187	100	0.0025	0
242	269	270	222	100	0.0025	0
243	270	271	82	100	0.0025	0
244	243	272	220	100	0.0025	0
245	243	273	300	100	0.0025	0
246	241	278	270	250	0.0025	0
247	280	279	78	100	0.0025	0
248	280	281	90	80	0.0025	0
249	282	283	123	100	0.0025	0
250	283	284	86	100	0.0025	0
251	284	285	81	100	0.0025	0
252	282	286	51	100	0.0025	0
253	286	287	212	100	0.0025	0
254	282	288	400	200	0.0025	0
255	290	229	218	500	0.0025	0
256	291	290	109	500	0.0025	0
257	292	291	55	500	0.0025	0
258	293	292	214	500	0.0025	0
259	294	293	145	500	0.0025	0
260	295	294	329	550	0.0025	0
261	294	296	372	500	0.0025	0
262	296	299	368	500	0.0025	0
263	296	297	96	200	0.0025	0
264	297	298	79	200	0.0025	0
265	135	300	181	300	0.0025	0
266	300	304	320	300	0.0025	0
267	304	305	236	300	0.0025	0
268	301	302	63	100	0.0025	0
269	300	303	164	80	0.0025	0
270	255	306	280	100	0.0025	0
271	306	307	103	100	0.0025	0
272	308	309	150	100	0.0025	0
273	309	310	46	100	0.0025	0
274	302	311	314	100	0.0025	0
275	313	314	264	150	0.0025	0
276	315	316	229	100	0.0025	0
277	317	318	265	150	0.0025	0
278	318	319	51	100	0.0025	0
279	319	320	87	100	0.0025	0
280	322	321	363	200	0.0025	0
281	322	323	163	125	0.0025	0
282	323	327	136	125	0.0025	0
283	327	324	200	100	0.0025	0
284	324	325	59	100	0.0025	0
285	325	326	59	100	0.0025	0
286	328	329	81	100	0.0025	0
287	329	330	142	100	0.0025	0
288	321	332	248	125	0.0025	0
289	332	331	110	100	0.0025	0
290	332	333	66	100	0.0025	0
291	333	334	99	80	0.0025	0
292	335	336	415	200	0.0025	0
293	317	338	1450	300	0.0025	0
294	338	340	350	300	0.0025	0
295	340	337	400	300	0.0025	0
296	338	339	68	80	0.0025	0
297	288	345	459	350	0.0025	0
298	345	344	310	350	0.0025	0
299	344	343	169	350	0.0025	0
300	343	342	176	350	0.0025	0
301	342	341	392	350	0.0025	0
302	342	352	246	100	0.0025	0
303	344	349	87	125	0.0025	0
304	349	350	64	100	0.0025	0
305	350	351	233	80	0.0025	0
306	345	346	90	125	0.0025	0
307	346	348	174	100	0.0025	0
308	348	347	51	100	0.0025	0
309	354	353	108	500	0.0025	0
310	355	356	190	500	0.0025	0
311	356	357	293	500	0.0025	0
312	357	358	168	500	0.0025	0
313	358	359	317	500	0.0025	0
314	359	360	342	500	0.0025	0
315	360	373	415	300	0.0025	0
316	360	367	142	300	0.0025	0
317	361	367	183	100	0.0025	0
318	367	368	131	200	0.0025	0
319	368	369	75	100	0.0025	0
320	368	371	362	175	0.0025	0
321	368	370	392	125	0.0025	0
322	367	362	236	250	0.0025	0
323	362	363	168	125	0.0025	0
324	363	364	263	125	0.0025	0
325	364	365	84	100	0.0025	0
326	365	366	50	100	0.0025	0
327	336	372	182	125	0.0025	0
328	373	374	158	300	0.0025	0
329	371	376	102	125	0.0025	0
330	376	377	69	100	0.0025	0
331	377	378	121	80	0.0025	0
332	370	379	81	100	0.0025	0
333	379	380	96	100	0.0025	0
334	318	381	87	150	0.0025	0
335	382	383	195	150	0.0025	0
336	383	384	209	125	0.0025	0
337	384	385	67	100	0.0025	0
338	383	386	55	150	0.0025	0
339	386	387	167	150	0.0025	0
340	387	388	81	125	0.0025	0
341	388	389	225	125	0.0025	0
342	389	390	44	125	0.0025	0
343	383	391	90	200	0.0025	0
344	391	394	286	200	0.0025	0
345	394	393	146	100	0.0025	0
346	386	392	170	100	0.0025	0
347	395	396	222	100	0.0025	0
348	396	397	31	100	0.0025	0
349	398	399	69	125	0.0025	0
350	399	400	297	100	0.0025	0
351	400	401	83	80	0.0025	0
352	305	312	77	100	0.0025	0
353	312	402	130	100	0.0025	0
354	403	404	257	100	0.0025	0
355	305	411	720	300	0.0025	0
356	411	412	351	250	0.0025	0
357	413	414	188	175	0.0025	0
358	414	415	159	150	0.0025	0
359	415	416	189	150	0.0025	0
360	416	404	83	150	0.0025	0
361	412	413	200	200	0.0025	0
362	411	410	94	80	0.0025	0
363	411	409	128	80	0.0025	0
364	417	394	67	200	0.0025	0
365	417	408	170	175	0.0025	0
366	408	418	176	175	0.0025	0
367	418	419	105	175	0.0025	0
368	419	420	136	150	0.0025	0
369	420	421	128	150	0.0025	0
370	421	422	40	150	0.0025	0
371	422	423	65	150	0.0025	0
372	423	424	83	100	0.0025	0
373	424	425	257	100	0.0025	0
374	425	426	85	100	0.0025	0
375	426	427	151	100	0.0025	0
376	428	405	326	150	0.0025	0
377	405	407	135	100	0.0025	0
378	405	406	222	100	0.0025	0
379	345	353	225	500	0.0025	0
380	428	404	101	150	0.0025	0
381	404	429	101	80	0.0025	0
382	125	126	149	80	0.0025	0
383	198	210	218	300	0.0025	0
384	18	144	569	400	0.0025	0
385	225	224	816	500	0.0025	0
386	276	277	320	100	0.0025	0
387	144	430	74	100	0.0025	0
388	155	431	150	500	0.0025	0
389	155	156	317	500	0.0025	0
390	301	248	262	300	0.0025	0
391	82	90	314	175	0.0025	0
392	90	94	419	150	0.0025	0
393	278	280	345	100	0.0025	0
394	134	135	671	300	0.0025	0
395	53	46	421	400	0.0025	0
396	182	192	700	250	0.0025	0
397	263	261	603	150	0.0025	0
398	301	313	477	300	0.0025	0
399	321	335	380	200	0.0025	0
400	337	341	206	300	0.0025	0
401	336	362	616	200	0.0025	0
402	44	80	347	200	0.0025	0
403	432	276	249	300	0.0025	0
404	276	275	184	300	0.0025	0
405	275	274	141	300	0.0025	0
406	274	278	75	300	0.0025	0
407	240	241	227	100	0.0025	0
408	241	237	397	200	0.0025	0
409	237	267	162	200	0.0025	0
410	374	375	177	300	0.0025	0
411	398	433	70	150	0.0025	0
412	375	433	350	300	0.0025	0
413	433	395	350	200	0.0025	0
414	159	156	820	200	0.0025	0
415	151	153	175	100	0.0025	0
416	138	145	169	100	0.0025	0
417	138	137	135	400	0.0025	0
418	137	136	213	400	0.0025	0
419	123	136	474	400	0.0025	0
420	431	151	280	500	0.0025	0
421	440	144	1800	300	0.0025	0
422	299	355	611	500	0.0025	0
423	445	295	354	550	0.0025	0
424	242	243	209	125	0.0025	0
425	197	198	500	250	0.0025	0
426	197	201	400	200	0.0025	0
427	201	202	44	100	0.0025	0
428	203	207	300	100	0.0025	0
429	354	446	800	500	0.0025	0
430	445	443	345	500	0.0025	0
431	289	298	750	250	0.0025	0
432	134	434	103.6	100	0.0025	0
433	434	435	219	80	0.0025	0
434	435	436	214	214	0.0025	0
435	106	437	80	300	0.0025	0
436	98	438	23	100	0.0025	0
437	438	99	121	100	0.0025	0
438	23	439	100	200	0.0025	0
439	439	24	102	150	0.0025	0
440	441	328	52	125	0.0025	0
441	322	441	116	150	0.0025	0
442	441	315	79	125	0.0025	0
443	307	442	82	100	0.0025	0
444	442	308	157	100	0.0025	0
445	443	231	381	500	0.0025	0
446	313	317	363	300	0.0025	0
447	408	447	2500	350	0.0025	0
448	412	408	752	300	0.0025	0
449	149	144	100	200	0.0025	0
450	32	37	177	150	0.0025	0
451	87	98	500	200	0.0025	0
452	381	382	100	200	0.0025	0
453	432	288	500	300	0.0025	0
454	224	444	200	500	0.0025	0
